[2024-06-18 11:09:34] app.INFO: Hello World [] []
[2024-06-19 12:00:14] app.INFO: Logging is working [] []
[2024-06-19 13:12:55] app.INFO: BD connected succesfully [] []
[2024-06-19 13:14:34] app.INFO: BD connected succesfully [] []
[2024-06-19 22:31:41] app.INFO: BD connected succesfully [] []
[2024-06-19 22:32:33] app.INFO: BD connected succesfully [] []
[2024-06-19 22:36:34] app.INFO: BD connected succesfully [] []
[2024-06-19 22:58:03] app.INFO: BD connected succesfully [] []
[2024-06-19 22:58:26] app.INFO: BD connected succesfully [] []
[2024-06-19 22:58:57] app.INFO: BD connected succesfully [] []
[2024-06-19 23:00:45] app.INFO: BD connected succesfully [] []
[2024-06-19 23:03:07] app.INFO: BD connected succesfully [] []
[2024-06-19 23:06:40] app.INFO: BD connected succesfully [] []
[2024-06-19 23:07:01] app.INFO: BD connected succesfully [] []
[2024-06-19 23:07:50] app.INFO: BD connected succesfully [] []
[2024-06-19 23:08:20] app.INFO: BD connected succesfully [] []
[2024-06-19 23:08:50] app.INFO: BD connected succesfully [] []
[2024-06-19 23:11:18] app.INFO: BD connected succesfully [] []
[2024-06-19 23:13:14] app.INFO: BD connected succesfully [] []
[2024-06-19 23:13:25] app.INFO: BD connected succesfully [] []
[2024-06-19 23:13:52] app.INFO: BD connected succesfully [] []
[2024-06-19 23:14:01] app.INFO: BD connected succesfully [] []
[2024-06-19 23:14:48] app.INFO: BD connected succesfully [] []
[2024-06-19 23:14:59] app.INFO: BD connected succesfully [] []
[2024-06-19 23:15:08] app.INFO: BD connected succesfully [] []
[2024-06-19 23:15:17] app.INFO: BD connected succesfully [] []
[2024-06-19 23:23:15] app.INFO: BD connected succesfully [] []
[2024-06-19 23:23:19] app.INFO: BD connected succesfully [] []
[2024-06-19 23:31:48] app.INFO: BD connected succesfully [] []
[2024-06-19 23:42:06] app.INFO: BD connected succesfully [] []
[2024-06-19 23:42:11] app.INFO: BD connected succesfully [] []
[2024-06-19 23:42:24] app.INFO: BD connected succesfully [] []
[2024-06-19 23:42:26] app.INFO: BD connected succesfully [] []
[2024-06-19 23:42:53] app.INFO: BD connected succesfully [] []
[2024-06-19 23:43:19] app.INFO: BD connected succesfully [] []
[2024-06-19 23:43:32] app.INFO: BD connected succesfully [] []
[2024-06-19 23:43:40] app.INFO: BD connected succesfully [] []
[2024-06-19 23:43:55] app.INFO: BD connected succesfully [] []
[2024-06-19 23:43:58] app.INFO: BD connected succesfully [] []
